"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"51",1,0,1,1,0,1,0,0,2,1
"52",7,3,3,3,1,4,3,2,6,3
"53",2,6,1,4,2,3,2,2,4,4
"54",2,2,1,2,1,2,0,2,3,5
"55",0,2,0,4,2,2,0,4,4,5
"56",2,4,3,3,2,4,1,3,6,4
"57",1,2,1,3,2,3,0,2,4,4
"58",2,8,0,2,7,4,1,8,6,8
"59",2,1,2,2,3,1,1,2,3,4
"60",2,1,3,3,2,1,1,3,6,6
"61",10,10,5,9,13,9,6,14,19,22
"62",4,5,1,3,6,1,3,5,1,7
"63",1,2,1,1,2,2,1,2,2,4
"64",2,4,2,2,4,1,3,4,3,5
"65",10,5,6,7,5,8,5,5,14,8
"66",11,9,3,10,6,8,6,6,15,8
"67",7,6,5,12,5,6,3,4,15,7
"68",8,6,4,6,5,0,4,4,11,5
"69",4,3,4,3,2,2,1,3,10,5
"70",7,2,5,5,2,5,2,6,12,4
"71",10,6,8,7,7,9,4,7,15,14
"72",8,4,7,5,4,6,4,1,15,6
"73",5,5,3,6,7,4,4,7,5,10
"74",0,0,0,0,1,0,0,0,0,2
"75",2,4,2,1,4,2,4,4,4,7
"76",1,2,2,2,2,3,0,2,3,3
"77",4,1,4,4,5,4,1,6,7,9
"78",0,1,0,2,3,2,3,2,4,3
"79",2,1,1,2,2,1,2,1,2,2
"80",3,1,2,0,1,1,1,0,5,2
"81",6,6,5,8,7,8,4,9,7,12
"82",1,1,2,2,2,3,1,4,5,5
"83",2,2,5,3,1,2,1,1,5,5
"84",4,3,1,3,5,2,0,4,5,7
"85",1,0,0,1,1,0,0,0,1,3
"86",3,4,2,3,6,7,2,5,8,9
"87",3,3,1,4,4,5,2,2,6,6
"88",4,3,2,9,2,5,3,1,13,6
"89",5,4,2,7,2,8,2,3,10,6
"90",7,4,5,10,2,12,4,5,16,13
"91",7,4,5,10,2,12,4,5,16,13
"92",4,2,5,3,1,6,1,5,8,6
"93",6,5,5,6,5,8,4,6,16,7
"94",11,6,4,10,7,8,5,8,15,14
"95",5,2,4,6,1,7,2,1,13,2
"96",3,0,2,3,0,3,1,1,4,1
"97",4,4,4,9,1,10,2,2,14,6
"98",0,4,1,1,3,1,3,3,3,5
"99",9,3,6,7,4,8,2,4,13,7
"100",4,7,2,7,6,13,4,4,13,8
"101",4,3,3,4,3,5,4,4,10,6
"102",4,2,3,4,0,6,0,2,9,4
"103",2,5,1,7,4,8,4,5,10,8
"104",1,4,1,1,3,1,2,2,4,4
"105",4,6,3,7,5,7,4,6,10,6
"106",1,2,1,2,3,1,3,3,2,3
"107",2,2,1,4,5,4,3,3,10,7
"108",2,7,1,3,5,4,3,5,6,9
"109",1,1,1,2,1,2,1,1,2,3
"110",3,1,1,3,0,2,0,0,6,0
"111",4,4,3,8,4,9,3,4,11,6
"112",3,3,3,3,2,3,4,2,9,4
"113",1,2,0,3,2,3,2,2,4,2
"114",2,2,1,4,5,4,3,3,10,7
"115",1,3,1,1,1,8,2,2,8,2
"116",4,6,3,4,5,3,3,3,5,5
"117",2,4,1,6,5,6,6,5,11,7
"118",4,0,1,5,0,6,2,0,10,0
"119",7,2,4,5,2,6,3,4,11,6
"120",5,1,2,4,1,7,2,1,9,2
"121",5,5,3,5,6,6,1,3,10,6
"122",7,2,4,5,0,6,1,1,9,4
"123",3,3,3,2,0,5,3,1,7,2
"124",1,3,1,3,6,3,3,3,8,5
"125",4,3,4,3,1,4,1,1,8,4
"126",1,4,1,2,2,4,2,2,4,3
"127",2,1,2,2,1,3,1,2,4,2
"128",9,13,5,15,10,14,5,9,21,17
"129",3,6,2,9,5,5,4,6,7,10
"130",2,6,4,3,5,4,1,3,4,8
"131",3,5,3,6,3,2,1,4,4,4
"132",4,2,2,2,2,2,2,1,6,6
"133",3,4,4,2,3,5,3,4,6,6
"134",3,4,4,2,3,5,3,4,6,6
"135",3,3,0,1,5,1,4,5,4,7
"136",3,1,2,6,2,6,2,3,11,4
"137",3,6,2,7,9,8,4,8,10,10
"138",0,2,1,0,2,1,0,3,2,5
"139",6,1,8,6,0,7,2,1,12,2
"140",2,2,2,3,3,4,2,4,5,4
"141",6,4,4,5,0,5,2,1,9,2
"142",2,5,0,2,3,5,3,3,6,6
"143",1,6,2,1,5,2,3,7,3,7
"144",1,2,1,1,3,2,1,3,2,6
"145",2,1,1,3,1,3,3,3,6,3
"146",0,3,0,2,1,1,0,1,3,2
"147",2,1,3,2,1,1,1,1,7,3
"148",1,1,0,0,1,0,1,1,0,1
"149",6,4,8,5,3,6,4,4,9,4
"150",2,1,0,1,3,0,1,3,4,5
"151",0,4,3,2,1,0,0,2,2,2
"152",6,4,5,10,4,8,3,4,13,11
"153",0,2,1,0,1,2,2,1,4,1
"154",4,2,2,5,0,3,4,0,7,5
"155",4,1,4,6,2,5,3,3,10,4
"156",3,6,1,8,6,5,4,6,5,6
"157",6,2,7,6,1,6,1,2,14,3
"158",0,0,0,0,1,0,0,0,0,2
"159",1,4,2,3,3,2,2,3,3,3
"160",3,2,1,3,3,4,1,2,6,4
"161",4,2,4,6,3,5,1,4,9,3
"162",3,4,3,3,2,4,3,3,6,7
"163",2,4,3,2,2,2,2,5,9,6
"164",0,2,0,2,1,0,0,1,1,4
"165",1,4,0,1,3,2,1,2,2,4
"166",2,3,1,3,2,6,1,3,12,6
"167",1,6,2,1,5,2,3,7,3,7
"168",3,4,3,2,1,3,0,2,5,4
"169",2,5,1,5,6,3,1,5,4,11
"170",3,2,3,4,2,4,2,4,5,6
"171",1,1,1,2,1,2,0,5,5,3
"172",4,0,3,5,0,6,0,1,9,1
"173",5,3,4,1,2,5,2,1,9,4
"174",0,1,0,0,1,2,0,2,3,2
"175",7,2,6,8,2,8,2,5,12,7
"176",3,5,2,5,4,7,2,6,15,9
"177",7,2,6,8,2,8,2,5,12,7
"178",4,2,1,3,0,4,3,4,9,4
"179",3,4,1,3,4,3,2,3,5,7
"180",3,3,2,2,2,2,1,1,5,4
"181",7,6,5,11,7,10,5,9,13,11
"182",4,6,3,5,1,3,2,6,6,5
"183",4,1,4,6,2,5,3,3,10,4
"184",0,6,0,2,2,1,1,4,4,6
"185",5,4,4,5,2,6,2,3,9,6
"186",2,3,1,4,1,4,4,3,6,3
"187",2,5,2,2,5,4,1,5,3,7
"188",2,9,3,6,6,8,4,7,8,7
"189",1,5,2,5,4,3,0,4,4,6
"190",2,1,1,3,1,3,3,3,6,3
"191",0,4,0,1,3,2,3,4,3,4
"192",6,4,3,4,3,4,0,2,9,5
"193",9,5,8,6,8,9,2,7,19,11
"194",0,2,0,0,2,1,3,1,3,3
"195",2,4,2,1,3,3,1,2,3,4
"196",1,6,2,6,4,5,1,3,7,7
"197",2,3,3,3,0,4,0,0,7,3
"198",2,3,3,5,6,5,4,4,10,7
"199",3,3,2,4,3,5,2,6,8,7
"200",4,5,5,6,2,8,1,3,16,10
"201",0,1,0,1,1,2,0,4,4,4
"202",2,1,2,2,0,3,1,1,5,3
"203",3,1,3,4,2,6,2,7,7,6
"204",4,5,1,9,1,3,4,5,9,4
"205",4,2,2,6,2,3,2,4,11,4
"206",2,6,1,2,4,4,2,7,6,8
"207",2,5,2,2,4,2,1,3,5,4
"208",2,0,1,2,0,3,1,3,5,2
"209",0,2,1,0,1,2,2,1,4,1
"210",2,5,2,2,5,4,1,5,3,7
"211",3,8,5,7,4,6,3,9,11,8
"212",2,3,2,3,2,2,2,2,3,2
"213",2,2,1,2,1,4,2,5,5,2
"214",1,5,2,2,5,2,3,4,4,6
"215",6,4,8,5,3,6,4,4,9,4
"216",0,0,0,0,1,0,0,0,0,2
"217",4,3,1,4,2,3,2,1,4,2
"218",4,3,3,2,3,3,1,3,4,4
"219",0,2,0,0,2,1,3,1,3,3
"220",0,4,0,1,3,2,3,4,3,4
"221",2,3,2,0,4,1,1,4,2,5
"222",7,3,5,9,5,3,3,6,13,9
"223",1,6,2,4,8,2,2,2,3,11
"224",0,5,0,0,8,0,1,4,1,9
"225",2,3,2,1,3,3,1,3,2,4
"226",4,2,3,4,3,4,1,4,6,6
"227",5,6,4,5,7,7,3,3,8,9
"228",6,5,3,5,6,6,4,7,8,10
"229",3,3,1,2,1,2,1,1,6,2
"230",2,3,2,6,1,2,4,3,5,5
"231",4,1,1,10,1,6,1,1,11,3
"232",4,5,2,7,2,5,3,4,8,5
"233",6,5,1,4,4,3,3,1,8,7
"234",0,3,1,3,3,2,4,3,7,4
"235",1,6,2,1,6,2,2,7,4,9
"236",2,1,3,1,3,4,0,3,10,4
"237",3,2,0,4,1,1,2,1,3,5
"238",3,9,2,5,10,5,3,8,5,13
"239",2,3,3,4,1,5,2,2,11,3
"240",2,3,1,3,4,2,3,4,3,6
"241",1,2,1,0,2,2,1,3,6,4
"242",2,4,2,3,5,4,4,4,6,6
"243",2,2,0,4,5,3,1,5,5,7
"244",0,2,0,2,1,2,2,2,4,4
"245",3,2,0,2,1,3,2,1,6,1
"246",0,5,0,1,1,2,1,2,2,5
"247",2,5,2,6,5,2,2,7,5,8
"248",5,3,4,10,2,8,4,5,12,6
"249",2,2,2,1,2,1,0,2,3,7
"250",3,2,3,6,3,6,2,3,10,6
"251",5,3,1,7,4,4,1,2,6,5
"252",1,3,3,5,2,3,2,1,5,4
"253",3,3,1,3,4,3,3,3,4,4
"254",3,6,1,4,4,2,1,2,5,5
"255",5,6,2,6,6,3,4,4,3,9
"256",1,0,0,0,0,0,1,0,0,1
"257",0,0,0,0,3,0,2,2,0,4
"258",3,3,2,3,5,2,4,3,3,7
"259",2,0,1,3,3,4,1,1,5,3
"260",1,1,1,2,1,1,0,1,1,1
"261",5,0,1,2,0,1,0,0,4,0
"262",1,1,0,2,2,4,1,1,5,3
"263",1,2,1,2,3,4,1,2,3,5
"264",2,3,5,2,3,2,3,3,7,7
"265",0,5,0,0,0,2,0,0,1,3
"266",2,3,3,3,2,6,2,1,7,3
"267",3,5,3,4,2,3,0,2,7,4
"268",4,3,3,3,3,5,3,1,4,4
"269",2,2,2,2,2,4,1,0,4,2
"270",0,2,0,0,3,1,1,2,0,3
"271",1,2,1,5,4,8,3,1,11,6
"272",0,4,0,2,2,3,1,2,4,3
"273",0,0,0,0,3,0,2,2,0,4
"274",1,3,1,1,3,4,1,3,3,4
"275",0,2,0,1,1,0,0,0,0,1
"276",3,7,3,3,5,2,3,4,2,7
"277",0,1,0,0,0,0,0,3,0,1
"278",0,5,0,0,0,2,0,0,1,3
"279",0,0,0,0,2,0,0,1,1,2
"280",0,0,1,1,1,0,0,0,0,2
"281",2,3,2,3,2,2,0,0,2,3
"282",3,2,1,3,1,3,1,1,4,1
"283",0,0,0,0,3,0,2,2,0,4
"284",0,0,1,1,1,0,0,0,0,2
"285",0,1,0,0,1,0,1,1,0,1
"286",2,1,0,2,0,2,0,0,3,0
"287",0,1,0,0,1,0,0,2,0,3
"288",0,0,0,0,2,2,1,1,2,2
"289",2,1,2,5,3,4,1,4,6,3
"290",2,1,2,5,3,4,1,4,6,3
"291",1,1,0,1,1,0,2,0,1,2
"292",3,1,1,3,3,3,2,2,7,6
"293",1,5,0,2,3,2,2,4,4,3
"294",0,1,0,2,1,0,1,1,1,1
"295",1,1,1,0,1,1,1,1,1,3
"296",1,0,1,0,3,1,1,2,1,4
"297",2,2,1,3,3,3,3,3,4,4
"298",2,0,1,2,1,6,2,0,9,3
"299",0,2,0,0,5,1,1,4,0,6
"300",0,0,1,1,1,0,0,0,0,2
"301",2,1,2,5,3,4,1,4,6,3
"302",2,0,3,3,1,2,1,0,5,2
"303",5,3,6,5,3,6,2,6,9,6
"304",6,6,2,10,7,7,3,7,14,13
"305",4,2,2,5,3,2,4,2,7,7
"306",2,3,1,1,2,2,0,3,5,6
"307",10,3,6,9,5,8,3,8,14,13
"308",0,0,2,3,0,3,1,2,5,1
"309",1,2,2,3,2,3,1,3,5,8
"310",3,2,2,6,4,4,4,2,7,6
"311",3,3,2,3,1,5,2,2,10,5
"312",2,4,4,3,2,5,1,2,7,3
"313",2,4,1,7,2,1,1,4,5,5
"314",4,2,5,3,1,4,4,4,13,7
"315",1,7,1,1,5,1,2,5,1,6
"316",4,5,4,5,4,3,4,3,10,6
"317",2,3,1,4,2,2,1,4,4,7
"318",5,2,6,4,2,6,2,10,12,10
"319",1,0,0,1,1,1,2,1,3,3
"320",2,1,2,3,0,3,1,0,6,2
"321",5,4,4,5,3,3,1,3,6,4
"322",8,4,6,9,3,10,7,3,12,5
"323",3,2,2,2,1,2,4,0,7,1
"324",1,1,1,1,2,1,2,2,6,2
"325",4,8,2,7,6,2,2,6,8,9
"326",10,4,10,9,4,11,1,5,20,5
"327",4,1,1,6,1,1,0,1,7,3
"328",3,3,1,4,3,4,0,6,5,5
"329",4,2,2,6,1,2,0,4,8,8
"330",4,1,3,3,1,2,1,1,8,3
"331",2,1,3,0,1,2,0,1,5,2
"332",7,6,3,7,3,8,3,6,15,8
"333",3,1,1,3,0,1,1,5,6,8
"334",3,5,3,1,5,1,2,4,4,8
"335",6,2,1,5,3,3,2,3,6,4
"336",6,2,3,5,0,7,3,0,8,0
"337",0,1,0,0,1,0,0,1,3,4
"338",3,4,2,2,3,2,4,2,8,7
"339",4,1,1,4,1,0,4,2,3,3
"340",2,1,1,3,3,0,1,4,5,6
"341",1,0,0,1,0,1,1,0,3,0
"342",2,4,2,7,5,6,1,7,7,10
"343",3,5,5,5,2,7,4,1,9,4
"344",2,1,0,1,2,0,1,3,1,2
"345",0,2,0,0,2,0,3,2,1,4
"346",3,2,4,1,3,1,3,5,9,9
"347",3,1,4,3,1,5,2,1,8,2
"348",1,1,0,3,0,0,0,1,2,1
"349",7,3,5,9,3,6,4,3,10,7
"350",1,2,0,1,0,0,2,3,1,4
"351",1,5,0,1,2,2,1,3,3,3
"352",1,0,2,0,0,1,0,0,2,2
"353",2,0,2,2,0,2,0,0,2,0
"354",1,4,0,1,2,2,1,2,3,5
"355",1,2,2,1,3,0,2,3,4,5
"356",0,1,0,1,1,2,3,3,2,3
"357",1,3,1,1,2,2,1,8,2,8
"358",2,5,2,3,4,2,5,1,3,10
"359",1,2,1,2,0,3,1,0,4,1
"360",0,1,1,1,2,0,1,2,2,5
"361",3,0,3,2,2,2,1,4,3,5
"362",4,1,2,2,2,3,1,1,5,4
"363",2,4,1,3,2,6,4,2,6,3
"364",2,1,1,2,4,2,1,1,4,7
"365",0,2,0,0,1,1,2,1,1,2
"366",2,6,2,3,4,5,2,4,5,7
"367",1,1,1,2,3,2,2,1,2,3
"368",3,3,3,2,3,3,2,3,3,5
"369",4,5,3,4,3,7,3,3,11,3
"370",1,1,1,1,2,2,1,3,3,4
"371",1,2,1,1,2,2,3,1,2,2
"372",4,0,3,6,1,6,0,3,8,2
"373",3,0,2,1,1,4,1,1,5,3
"374",0,1,1,1,3,0,2,2,4,4
"375",4,2,3,2,2,5,4,5,6,2
"376",5,2,3,8,6,11,3,5,13,7
"377",2,2,0,0,4,0,3,3,3,4
"378",2,4,1,1,2,0,1,3,2,5
"379",2,4,1,3,2,6,4,2,6,3
"380",0,2,0,2,2,6,0,1,8,2
"381",2,3,1,1,4,1,2,2,4,6
"382",2,5,1,8,6,8,4,2,7,6
"383",1,0,0,2,1,0,0,1,1,4
"384",1,0,1,1,0,3,2,0,3,1
"385",4,9,0,9,7,7,3,8,17,9
"386",2,6,2,2,5,4,4,4,6,7
"387",3,3,0,3,2,3,3,1,5,2
"388",3,0,3,2,2,2,1,4,3,5
"389",1,4,0,0,2,0,1,2,2,3
"390",1,4,0,2,4,0,3,1,0,5
"391",2,3,0,4,1,3,1,2,6,4
"392",2,2,2,2,6,3,1,9,3,8
"393",0,1,1,1,3,0,0,1,1,5
"394",1,3,0,0,2,0,2,3,1,7
"395",1,4,2,2,2,3,3,1,5,3
"396",3,1,2,2,1,3,2,1,3,3
"397",3,3,1,2,3,2,2,3,3,4
"398",0,1,0,0,1,1,0,0,1,3
"399",5,1,5,8,0,4,4,0,11,1
"400",3,5,1,4,4,7,3,4,8,5
"401",0,0,0,0,0,0,0,0,2,0
"402",0,1,0,1,0,0,1,1,2,0
"403",4,4,3,4,3,4,2,2,5,5
"404",0,4,0,2,1,5,0,1,6,3
"405",1,3,2,3,1,5,1,1,6,1
"406",4,1,4,3,3,5,2,4,7,5
"407",7,2,8,8,4,7,6,4,12,9
"408",0,2,0,0,0,0,0,0,0,0
"409",5,2,3,8,6,11,3,5,13,7
"410",0,1,1,1,3,0,2,2,4,4
"411",1,2,1,2,2,2,0,1,3,4
"412",1,2,1,2,2,2,0,1,3,4
"413",1,0,1,1,1,2,1,1,2,3
"414",0,2,0,0,0,2,2,0,1,1
"415",2,3,3,5,3,3,1,2,7,6
"416",5,1,5,8,0,4,4,0,11,1
"417",4,0,3,6,1,6,0,3,8,2
"418",0,4,0,1,2,2,0,3,3,3
"419",1,2,1,2,2,2,0,1,3,4
"420",3,5,1,4,4,6,3,4,7,5
"421",4,0,3,6,1,6,0,3,8,2
"422",1,1,1,1,2,2,1,3,3,4
"423",1,6,0,1,3,2,3,3,5,3
"424",0,1,0,1,1,0,0,0,1,2
"425",0,3,0,3,4,2,2,3,3,5
"426",4,1,3,4,1,4,0,0,4,1
"427",0,3,0,1,5,1,2,3,2,5
"428",2,4,1,3,2,4,3,2,3,5
"429",1,4,2,1,2,1,1,2,3,6
"430",2,3,4,3,2,3,2,4,7,4
"431",0,2,0,0,0,2,2,0,1,1
"432",2,3,2,1,3,1,2,3,5,4
"433",0,3,1,3,2,2,2,3,4,4
"434",3,2,1,3,2,3,2,2,5,4
"435",1,1,1,2,2,2,0,1,2,3
"436",0,2,0,0,1,1,0,1,1,1
"437",2,4,1,6,3,4,2,7,7,4
"438",3,5,1,3,2,5,3,3,4,5
"439",2,1,1,3,1,2,0,0,4,2
"440",1,1,1,2,0,3,0,1,3,3
"441",0,2,0,0,3,0,1,3,0,6
"442",2,0,1,1,1,3,1,2,7,2
"443",1,3,0,1,1,1,1,1,3,3
"444",1,0,1,1,0,1,0,1,2,0
"445",4,2,1,4,1,8,2,4,10,4
"446",2,3,1,1,4,1,2,2,4,6
"447",0,1,0,1,2,2,1,3,2,4
"448",2,3,3,5,3,3,1,2,7,6
"449",4,1,3,4,1,4,0,0,4,1
"450",1,2,1,1,2,2,3,1,2,2
"451",0,4,0,2,1,5,0,1,6,3
"452",1,1,0,0,3,1,1,3,1,4
"453",3,5,1,3,2,5,3,3,4,5
"454",3,5,1,3,2,5,3,3,4,5
"455",3,3,1,2,3,2,2,3,3,4
"456",4,0,3,6,1,6,0,3,8,2
"457",2,4,1,6,3,4,2,7,7,4
"458",0,1,1,1,3,0,0,1,1,5
"459",1,0,1,1,1,2,1,1,2,3
"460",0,1,1,1,2,0,1,2,2,5
"461",2,5,2,2,4,1,2,4,4,6
"462",2,1,1,2,4,2,1,1,4,7
"463",1,1,1,1,2,2,1,3,3,4
"464",1,3,0,2,1,1,1,1,4,3
"465",1,2,1,2,2,2,0,1,3,4
"466",1,1,1,1,4,1,2,4,3,5
"467",1,0,1,1,0,1,0,1,2,0
"468",2,3,2,3,5,5,2,4,4,9
"469",0,0,0,0,1,0,0,1,0,1
"470",1,0,1,2,1,1,0,1,3,2
"471",1,6,3,4,4,7,5,5,8,5
"472",1,1,0,0,2,2,1,4,2,3
"473",0,2,0,1,2,3,2,2,2,4
"474",1,0,1,1,1,2,1,1,2,3
"475",1,1,3,2,5,4,1,7,7,6
"476",0,1,0,1,3,0,2,3,1,3
"477",0,1,0,1,2,2,1,3,2,4
"478",1,0,0,3,2,2,1,2,5,3
"479",1,1,0,0,3,1,1,3,1,4
"480",1,1,1,1,1,1,0,0,1,1
"481",3,4,1,2,1,3,0,0,3,1
"482",2,3,3,5,3,3,1,2,7,6
"483",1,3,0,4,3,3,1,2,5,8
"484",0,5,2,4,3,4,1,3,6,6
"485",1,2,0,1,3,1,0,3,1,4
"486",2,2,1,2,1,3,2,1,3,2
"487",2,3,1,2,1,2,2,1,4,2
"488",3,2,1,4,1,4,0,1,4,3
"489",1,2,1,2,2,2,0,1,3,4
"490",1,3,1,2,8,2,3,4,1,10
"491",3,3,2,4,2,4,1,2,5,4
"492",1,0,2,1,1,2,0,0,3,4
"493",2,1,1,1,1,2,1,0,3,6
"494",0,3,1,0,4,0,1,1,1,6
"495",1,2,1,3,3,3,1,4,3,6
"496",1,4,1,1,7,4,2,6,3,12
"497",2,2,1,3,1,2,2,1,3,2
"498",4,2,6,2,3,4,1,4,8,7
"499",2,3,2,2,6,4,2,4,3,6
"500",4,3,1,3,3,2,3,2,6,3
"501",1,2,1,1,1,1,2,1,1,3
"502",5,2,3,4,0,4,4,2,8,2
"503",2,4,2,1,4,3,1,3,3,8
"504",1,3,1,2,1,3,1,2,3,1
"505",3,3,3,4,4,3,2,3,5,6
"506",1,2,1,2,1,5,2,1,6,1
"507",3,6,4,4,4,7,2,4,8,6
"508",2,9,2,2,10,5,7,6,7,16
"509",3,3,2,4,2,4,1,2,5,4
"510",3,3,2,4,6,5,2,4,6,6
"511",4,1,4,6,4,9,2,4,8,5
"512",2,2,1,2,5,1,2,4,3,8
"513",1,5,0,0,3,2,1,3,4,4
"514",1,3,1,2,3,2,0,2,2,9
"515",1,0,2,1,2,1,0,5,5,6
"516",6,5,3,5,6,5,5,4,5,9
"517",1,0,2,1,1,2,0,0,3,4
"518",6,2,0,2,2,2,4,0,7,7
"519",2,4,1,2,6,1,4,7,4,9
"520",3,3,1,2,4,1,4,3,3,8
"521",3,5,1,5,7,6,4,7,7,12
"522",1,5,1,5,5,4,5,2,4,9
"523",3,13,8,5,9,6,5,9,10,18
"524",2,1,2,2,2,4,1,2,3,3
"525",2,3,1,1,2,1,1,1,1,2
"526",1,3,1,2,2,1,2,1,2,4
"527",2,1,1,1,1,2,1,0,3,6
"528",1,0,2,1,1,2,0,0,3,4
"529",1,4,1,1,7,4,2,6,3,12
"530",1,0,2,1,2,1,0,5,5,6
"531",0,4,0,0,1,1,2,0,3,1
"532",1,2,1,2,1,2,0,1,3,2
"533",2,3,0,2,3,1,2,5,3,7
"534",3,3,2,4,2,3,2,2,4,5
"535",1,3,1,2,1,3,1,2,3,1
"536",1,3,1,2,8,2,3,4,1,10
"537",1,2,1,3,3,3,0,3,3,4
"538",3,3,2,4,6,5,2,4,6,6
"539",3,3,2,3,2,2,2,2,3,7
"540",0,0,0,1,2,1,0,0,2,3
"541",3,3,2,4,2,4,1,1,5,3
"542",4,7,1,3,3,1,3,4,4,6
"543",3,1,2,4,1,5,1,0,7,2
"544",1,3,1,2,2,2,2,2,2,4
"545",1,3,0,2,5,1,0,4,2,5
"546",3,5,3,5,6,6,4,3,7,8
"547",5,2,3,4,0,4,4,2,8,2
"548",4,9,4,5,10,7,4,6,7,13
"549",5,2,4,5,6,4,1,4,13,9
"550",1,7,1,1,8,3,5,7,3,11
"551",2,5,1,2,5,4,2,5,3,11
"552",6,7,2,6,8,8,6,8,8,13
"553",0,3,0,1,3,2,3,2,1,5
"554",4,4,4,5,3,7,3,2,7,5
"555",1,2,1,2,1,5,2,1,6,1
"556",1,2,1,2,1,4,2,1,5,1
"557",3,1,1,2,1,2,1,1,5,1
"558",1,2,0,2,2,1,3,0,3,5
"559",3,4,3,5,3,4,2,6,6,6
"560",2,1,1,1,0,3,0,1,4,0
"561",1,1,2,3,4,3,2,4,4,7
"562",3,1,1,3,2,4,1,1,6,3
"563",2,1,3,2,1,4,1,0,6,2
"564",4,3,1,9,3,5,2,2,6,7
"565",1,4,1,2,6,0,2,3,3,6
"566",7,3,5,4,4,5,3,4,7,9
"567",3,3,2,2,1,2,2,1,4,1
"568",4,5,1,4,3,4,1,3,5,6
"569",3,5,2,3,7,4,3,6,3,14
"570",4,2,2,4,6,4,5,4,5,7
"571",4,2,1,7,4,8,0,3,8,5
"572",2,1,1,1,4,2,1,1,2,6
"573",7,3,4,6,3,9,2,4,12,6
"574",2,3,1,2,4,3,0,1,3,4
"575",3,3,2,3,3,3,2,3,6,6
"576",3,2,4,2,1,4,2,0,7,1
"577",1,3,2,1,4,3,2,4,4,5
"578",0,5,0,0,9,2,4,4,1,13
"579",3,2,2,4,3,3,2,2,6,4
"580",3,5,1,1,2,1,2,3,3,3
"581",5,3,1,5,4,2,2,5,6,9
"582",1,6,1,2,6,1,2,3,3,8
"583",5,6,2,2,5,3,3,3,6,6
"584",4,3,1,2,3,1,1,1,6,5
"585",3,5,2,3,6,1,3,3,7,7
"586",1,6,1,1,5,2,4,5,1,7
"587",3,2,3,4,6,5,2,4,9,9
"588",1,3,0,3,4,2,2,3,1,9
"589",1,3,2,2,2,2,2,3,4,4
"590",4,5,2,4,1,5,1,5,9,6
"591",2,0,1,3,2,4,3,2,4,5
"592",1,4,1,3,3,5,3,2,5,6
"593",0,1,0,1,1,0,1,0,3,1
"594",2,1,0,2,1,2,0,2,3,2
"595",2,5,1,1,4,4,4,4,4,5
"596",1,2,0,1,2,3,2,1,4,2
"597",3,3,3,5,5,5,2,3,8,7
"598",14,3,6,21,2,9,5,2,17,6
"599",3,3,2,3,3,3,2,3,6,5
"600",2,4,2,4,4,5,3,3,10,5
"601",5,3,1,5,4,2,2,5,6,9
"602",5,5,4,3,7,7,4,7,8,9
"603",3,2,2,3,5,4,3,2,6,7
"604",3,2,2,2,3,3,1,5,7,9
"605",1,3,1,0,6,2,4,3,4,8
